timestamp,id,num,d0,d1,d2,d3,d4,d5,d6,d7
1.300140524,2B0,5,c4,ff,00,07,b4,00,00,00
1.300966738,545,8,dc,12,00,88,94,00,90,00
1.301839993,4F0,8,80,00,00,00,00,c5,bc,14
1.30264739,0A0,8,3e,65,aa,0c,00,ad,00,00
1.303494559,440,8,ff,50,00,00,ff,c8,0b,00
1.304333602,59B,8,00,00,00,00,00,00,00,00
1.305356533,1F1,8,00,00,00,00,00,00,00,00
1.306274263,0A0,8,3e,65,aa,0c,00,ad,00,00
1.30716163,440,8,ff,a0,00,00,ff,c4,0b,00
1.308017779,545,8,e4,12,00,89,8f,00,91,00
1.308867086,4F0,8,80,00,00,00,00,c5,bc,14
1.309726229,2A0,8,00,00,6a,00,00,00,00,00
1.31060547,545,8,e4,12,00,88,90,00,91,00
1.311460337,153,8,00,80,10,ff,00,ff,00,00
1.312314347,1F1,8,00,00,00,00,00,00,00,00
1.313161943,2A0,8,00,00,6a,00,00,00,00,00
1.314006118,220,8,ff,03,f2,03,9f,01,c1,0f
1.314863978,220,8,fa,03,e9,03,9f,01,c1,0f
1.315750917,428,8,05,00,00,80,65,08,02,00
1.316597658,260,8,16,18,00,30,00,65,00,00
1.3174769,545,8,e4,12,00,89,8f,00,90,00
1.318440389,153,8,00,80,10,ff,00,ff,00,00
1.319408581,1F1,8,00,00,00,00,00,00,00,00
1.320268579,370,8,ff,20,00,00,ff,00,00,a8
1.32111532,220,8,fd,03,e7,03,9f,01,c1,0f
1.322159206,4F0,8,80,00,00,00,00,c5,bc,14
1.32302519,429,8,52,02,00,00,00,00,2d,03
1.323901011,350,8,15,13,53,83,88,00,00,5e
1.324763147,545,8,e4,12,00,88,91,00,92,00
1.325626994,153,8,00,80,10,ff,00,ff,00,00
1.326477584,0A0,8,3f,65,aa,0c,00,ad,00,00
1.327323897,545,8,e4,12,00,89,91,00,94,00
1.32817021,153,8,00,80,10,ff,00,ff,00,00
1.329051162,4F0,8,80,00,00,00,00,c5,bc,14
1.32990945,0A0,8,3f,65,aa,0c,00,ad,00,00
1.330758329,545,8,dc,12,00,89,93,00,94,00
1.331605925,429,8,52,02,00,00,00,00,2d,03
1.332450527,153,8,00,80,10,ff,00,ff,00,00
1.333320789,2A0,8,00,00,6a,00,00,00,00,00
1.334217136,1F1,8,00,00,00,00,00,00,00,00
1.335133584,545,8,dc,12,00,89,93,00,94,00
1.335995292,690,8,40,00,01,00,00,00,00,00
1.336841177,329,8,ed,92,80,90,0a,20,00,14
1.337684925,220,8,ff,03,ef,03,9f,01,c1,0f
1.33893066,220,8,ff,03,e4,03,a1,01,c1,0f
1.339792796,350,8,15,13,a3,83,88,00,00,ae
1.34067717,260,8,16,19,00,30,00,65,00,00
1.343745536,545,8,dc,12,00,89,93,00,93,00
1.345637018,153,8,00,80,10,ff,00,ff,00,00
1.347334348,428,8,05,00,00,80,65,08,02,00
1.34840261,370,8,ff,20,00,00,ff,00,00,e4
1.349913487,220,8,f7,03,ec,03,9f,01,c1,0f
1.350989018,316,8,45,19,aa,0c,19,10,00,00
1.351980304,0A0,8,3f,65,aa,0c,00,ad,00,00
1.352960898,430,8,00,00,00,00,00,00,00,00
1.353943203,545,8,e4,12,00,89,92,00,94,00
1.355536187,153,8,00,80,10,ff,00,ff,00,00
1.356941007,0A0,8,3f,65,aa,0c,00,ad,00,00
1.358097792,4F0,8,80,00,00,00,00,c5,bc,14
1.359120296,220,8,ff,03,f4,03,a1,01,c1,0f
1.359979866,350,8,15,13,e3,83,88,00,00,ee
1.360825751,0A1,8,80,80,80,80,64,0c,0b,00
1.361690026,440,8,ff,00,00,00,ff,c4,0b,00
1.362542326,545,8,e4,12,00,89,93,00,97,00
1.363387356,4F0,8,80,00,00,00,00,c5,bc,14
1.364255052,2A0,8,00,00,6a,00,00,00,00,00
1.365339564,545,8,dc,12,00,89,96,00,9a,00
1.366226504,153,8,00,80,10,ff,00,ff,00,00
1.367102324,220,8,fc,03,e5,03,a1,01,c1,0f
1.367978573,350,8,14,13,03,83,88,00,00,0f
1.368870216,4B1,8,00,00,00,00,00,00,00,00
1.369980815,1F1,8,00,00,00,00,00,00,00,00
1.371002891,4F0,8,80,00,00,00,00,c5,bc,14
1.372387184,329,8,40,92,80,90,0a,20,00,14
1.373289519,545,8,e4,12,00,89,99,00,99,00
1.374149944,153,8,00,80,10,ff,00,ff,00,00
1.375005238,350,8,14,13,23,83,88,00,00,2f
1.375894316,370,8,ff,20,00,00,ff,00,00,20
1.376749182,430,8,00,00,00,00,00,00,00,00
1.37760191,1F1,8,00,00,00,00,00,00,00,00
1.590548234,329,8,40,92,80,90,0a,20,00,14
1.59223188,429,8,52,02,00,00,00,00,2d,03
1.594273894,59B,8,00,00,00,00,00,00,00,88
1.59630821,153,8,00,80,10,ff,00,ff,00,00
1.598342098,18F,8,fe,3c,19,00,00,51,00,00
1.600195092,545,8,e4,12,00,88,98,00,99,00
1.602217434,220,8,ff,03,f1,03,9f,01,c1,0f
1.604104212,4F0,8,80,00,00,00,00,c5,bc,14
1.605819076,260,8,17,19,00,30,00,64,00,00
1.607267516,545,8,e4,12,00,89,98,00,9b,00
1.60845167,316,8,45,19,ac,0c,19,10,00,00
1.609605033,153,8,00,80,10,ff,00,ff,00,00
1.610743002,2A0,8,00,00,6a,00,00,00,00,00
1.611725307,545,8,e4,12,00,89,98,00,9b,00
1.612870545,153,8,00,80,10,ff,00,ff,00,00
1.613818638,1F1,8,00,00,00,00,00,00,00,00
1.614745776,329,8,84,92,80,90,0a,20,00,14
1.615674625,220,8,ff,03,e2,03,9f,01,c7,0f
1.616602619,220,8,fa,03,ea,03,9f,01,c1,0f
1.617525481,350,8,14,13,83,83,88,00,00,8f
1.618449626,329,8,84,92,80,90,0a,20,00,14
1.619373343,545,8,e4,12,00,88,9a,00,9d,00
1.620277388,153,8,00,80,10,ff,00,ff,00,00
1.62131486,2A0,8,00,00,6a,00,00,00,00,00
1.622691455,440,8,ff,f0,00,00,ff,bc,0b,00
1.623693431,220,8,f5,03,f2,03,9f,01,c7,0f
1.624682579,350,8,15,13,a3,83,88,00,00,ae
1.625682845,0A0,8,40,65,a0,0c,00,ad,00,00
1.626669426,440,8,ff,00,00,00,ff,b8,0b,00
1.627672685,545,8,dc,12,00,89,9c,00,98,00
1.628660977,4F0,8,80,00,00,00,00,c5,bc,14
1.629660816,2A0,8,00,00,6a,00,00,00,00,00
1.630649108,545,8,dc,12,00,88,97,00,98,00
1.631650656,220,8,fa,03,ec,03,9f,01,da,0f
1.632721912,316,8,45,19,a8,0c,19,10,00,00
1.633723033,2B0,5,c4,ff,00,07,d2,00,00,00
1.634709614,545,8,dc,12,00,89,97,00,96,00
1.635697906,4F0,8,80,00,00,00,00,c5,bc,14
1.636974005,690,8,40,00,01,00,00,00,00,00
1.637907558,329,8,ed,92,80,90,0a,20,00,14
1.639089574,545,8,dc,12,00,89,95,00,96,00
1.640100958,220,8,f9,03,f1,03,9f,01,c1,0f
1.641093527,350,8,15,13,e3,83,88,00,00,ee
1.642092082,370,8,ff,20,00,00,ff,00,00,20
1.643062413,220,8,fc,03,e5,03,9f,01,c1,0f
1.644132385,4F0,8,80,00,00,00,00,c5,bc,14
1.645019325,429,8,52,02,00,00,00,00,2d,03
1.645884027,350,8,15,13,f3,83,88,00,00,fe
1.646741031,545,8,dc,12,00,88,92,00,93,00
1.647603167,153,8,00,80,10,ff,00,ff,00,00
1.648464876,0A1,8,80,80,80,80,64,d7,0b,00
1.64951988,545,8,dc,12,00,89,92,00,90,00
1.650523995,220,8,fa,03,f4,03,9f,01,c1,0f
